35 10 2 | 15096 15 27.7308 3.20322e-09 4.67718e-10 | 29776 56 27.2919 0 -2.36768e-09 | 15604 50 27.2919 0 -1.58108e-07
36 10 2 | 14992 15 28.5713 9.5505e-16 2.50119e-07 | 29584 61 28.0522 0 -4.1131e-09 | 15712 43 28.0522 0 -5.26813e-06
37 10 2 | 14996 16 32.8168 1.10467e-10 2.4008e-07 | 29340 60 32.0089 0 -1.93397e-09 | 15444 52 32.0089 0 -1.24689e-06
38 10 3 | 15120 28 27.9014 2.42617e-07 -2.21386e-06 | 29312 58 27.3949 0 -5.52376e-08 | 15572 43 27.3949 0 -9.9671e-07
39 10 3 | 15196 15 29.1595 1.35679e-09 1.04839e-07 | 29788 63 28.805 0 -2.96051e-08 | 15604 68 28.805 0 -9.30117e-06
40 10 2 | 15308 14 32.1501 1.00515e-09 1.78635e-10 | 29676 57 31.8129 0 -5.9629e-09 | 15624 34 31.8129 0 -2.34809e-06
41 10 2 | 15124 15 28.9355 1.13133e-10 9.18062e-12 | 29524 56 28.1644 0 -1.43171e-09 | 15452 45 28.1644 0 -4.75778e-07
42 10 3 | 15104 15 31.0897 5.74606e-09 1.20386e-10 | 29664 60 30.3859 0 -3.2818e-08 | 15672 44 30.3859 0 -2.27204e-07
43 10 2 | 15192 16 31.4352 6.83291e-09 5.41536e-08 | 29432 54 30.6169 0 -5.98814e-08 | 15372 44 30.6169 0 -2.42724e-07
44 10 2 | 15140 15 31.8367 9.02615e-12 8.20955e-13 | 29536 57 30.9231 0 -1.23756e-09 | 15736 38 30.9231 0 -5.78986e-07
45 10 2 | 15156 14 30.9011 5.89282e-14 1.69336e-06 | 29676 62 30.3267 0 -8.52961e-10 | 15752 31 30.3267 0 -5.79159e-06
46 10 2 | 15112 15 32.5019 1.62168e-11 2.72482e-12 | 29652 60 31.7922 0 -1.52781e-08 | 15488 47 31.7922 0 -1.82782e-07
47 10 3 | 15148 26 29.9326 2.13555e-07 1.20302e-06 | 29728 61 29.1394 0 -1.5767e-09 | 15768 57 29.1394 0 -1.49865e-06
48 10 2 | 15108 16 35.48 1.69027e-10 8.40846e-07 | 29284 60 34.7579 0 -5.05982e-09 | 15568 34 34.7579 0 -4.44737e-07
49 10 3 | 15008 15 30.893 3.14454e-09 6.03641e-08 | 29584 59 30.3039 0 -3.30074e-09 | 15608 39 30.3039 0 -2.71419e-07
