44 10 3 | 15016 15 31.8367 9.02615e-12 8.20955e-13 | 29592 56 30.9231 0 -1.23756e-09 | 15572 44 30.9231 0 -5.78986e-07
45 10 3 | 14684 13 30.9011 5.89282e-14 1.69336e-06 | 29760 62 30.3267 0 -8.52961e-10 | 15676 33 30.3267 0 -5.79159e-06
46 10 2 | 14844 15 32.5019 1.62168e-11 2.72482e-12 | 29672 62 31.7922 0 -1.52781e-08 | 15820 47 31.7922 0 -1.82782e-07
47 10 2 | 15080 25 29.9326 2.13555e-07 1.20302e-06 | 29340 62 29.1394 0 -1.5767e-09 | 15444 48 29.1394 0 -1.49865e-06
48 10 2 | 14932 15 35.48 1.69027e-10 8.40846e-07 | 29360 60 34.7579 0 -5.05982e-09 | 15588 34 34.7579 0 -4.44737e-07
49 10 3 | 14936 15 30.893 3.14454e-09 6.03641e-08 | 29484 56 30.3039 0 -3.30074e-09 | 15652 43 30.3039 0 -2.71419e-07
50 10 2 | 14732 13 31.0329 2.07555e-14 8.3214e-08 | 29768 58 30.4326 0 -1.83241e-08 | 15560 44 30.4326 0 -8.09816e-07
51 10 2 | 14788 16 31.6653 2.09477e-15 6.87518e-07 | 29728 66 31.2981 0 -9.3341e-10 | 15528 56 31.2981 0 -7.14284e-07
52 10 2 | 14780 14 28.4678 2.55183e-09 1.00804e-07 | 29696 62 28.1072 0 -1.10832e-09 | 15684 42 28.1072 0 -6.95878e-07
53 10 2 | 14836 15 32.4647 5.00048e-09 6.4173e-09 | 29512 59 31.8876 0 -1.03455e-08 | 15508 49 31.8876 0 -2.97335e-06
54 10 2 | 14980 15 32.2012 3.41121e-10 4.04769e-09 | 29712 62 31.3729 0 -1.47845e-10 | 15708 38 31.3729 0 -5.16359e-06
55 10 2 | 14848 15 29.3962 2.00761e-09 1.83168e-08 | 29324 57 28.7475 0 -1.13714e-09 | 15532 41 28.7475 0 -5.41852e-06
56 10 2 | 14872 16 29.4034 8.4329e-11 1.35829e-06 | 29244 62 28.976 0 -4.67671e-09 | 15464 34 28.976 0 -2.51574e-06
